"Checkbox","Secteur_activite","Forme_juridique","Code_Activite_Compte","Libelle_Activite_Compte","Code_Centre","Libelle_Centre","Code_Region","Libelle_Region","Poste_Itinerant","Code_Nature","Libelle_Nature","Code_Nature_juridique_Client","Libelle_Nature_juridique_Client","Critere_SLA","Activite_Batiment","icone","Symptome_Reference","Parametre_Contrat_Type","Limite_Contrat_Type","Code_Domaine","Libelle_Domaine","Code_Sous-domaine","Libelle_Sous-domaine","Contractuel","Importance_Equipement","Criticite_Demande","Priorite_Espace","Code_Titre","Libelle_Titre","Langue","Outil_Energies","Code_Occupation","Libelle_Occupation ","Type_Operation","Zone_Astreinte","Type_Prestations_FM","Classification_Site","Statut_Equipement","Etat_Fonctionnement","Etat_Sante","Origine","Territoire","Maintenance_Type","Code_Sous_Famille","Libelle_Sous_Famille","Code_Famille","Libelle_Famille"
"","","","","","Agence AMT - Nord (G3LI)","Agence AMT - Nord (G3LI)","","","","","","","","","","","","","","","","060.40","","","","","","","","","","","","","Z37","","","","","","","","","010.20.RAC.BCH","Batterie chaude","010.30.AER","Aérothermes"
"","","","","","Agence AMT - Alsace Nord (G3SN)","Agence AMT - Alsace Nord (G3SN)","","","","","","","","","","","","","","","","060.50","","","","","","","","","","","","","Z38","","","","","","","","","010.20.RAC.BEL","Batterie électrique","010.30.BAI","Brasseur d'air"
"","","","","","Agence AMT - Picardie Champagne Ardennes (G3AM)","Agence AMT - Picardie Champagne Ardennes (G3AM)","","","","","","","","","","","","","","","","060.60","","","","","","","","","","","","","Z39","","","","","","","","","010.20.RAD.EAU","Eau","010.30.BCH","Batteries terminales de chauffage"
"","","","","","Agence AMT - Maintenance La Réunion (G1IM)","Agence AMT - Maintenance La Réunion (G1IM)","","","","","","","","","","","","","","","","062.10","","","","","","","","","","","","","Z40","","","","","","","","","010.20.RAD.HUI","Huile","010.30.BDE","Boites de détente"
"","","","","","Agence AMT - Besançon (G3BE)","Agence AMT - Besançon (G3BE)","","","","","","","","","","","","","","","","070.10","","","","","","","","","","","","","Z41","","","","","","","","","010.20.RAD.VAP","Vapeur","010.30.BEG","Batteries terminales eau glacée"
"","","","","","Agence AMT - Bordeaux (G3BX)","Agence AMT - Bordeaux (G3BX)","","","","","","","","","","","","","","","","080.10","","","","","","","","","","","","","Z42","","","","","","","","","010.20.SCH.SEC","Sèche-serviettes","010.30.BOU","Bouches"
"","","","","","Agence AMT - Nantes (G3NA)","Agence AMT - Nantes (G3NA)","","","","","","","","","","","","","","","","080.20","","","","","","","","","","","","","Z43","","","","","","","","","010.20.TRD.TUB","Tubes Radiants","010.30.BRC","Batterie récupération / Récupérateur"
"","","","","","Agence AMT - Rennes (G3RE)","Agence AMT - Rennes (G3RE)","","","","","","","","","","","","","","","","080.30","","","","","","","","","","","","","Z44","","","","","","","","","010.30.AAG.ANA","Analyseur d'air et de gaz","010.30.CAL","Calorifuges"
"","","","","","Agence AMT - Centre Val De Loire (G3CV)","Agence AMT - Centre Val De Loire (G3CV)","","","","","","","","","","","","","","","","080.40","","","","","","","","","","","","","Z45","","","","","","","","","010.30.ACA.ARM","Armoires de climatisation autonomes","010.30.CAS","Cassettes"
"","","","","","Agence AMT - Rouen (G3RN)","Agence AMT - Rouen (G3RN)","","","","","","","","","","","","","","","","100.10","","","","","","","","","","","","","Z46","","","","","","","","","010.30.AEG.ARM","Armoires de Climatisation EG","010.30.CLM","Climatiseur monoblocs"
"","","","","","Agence AMT - Salon De Provence (G6SP)","Agence AMT - Salon De Provence (G6SP)","","","","","","","","","","","","","","","","100.20","","","","","","","","","","","","","Z47","","","","","","","","","010.30.AER.BEC","Bouche EC","010.30.CON","Condenseurs"
