"Checkbox","Secteur_activite","Forme_juridique","Code_Activite_Compte","Libelle_Activite_Compte","Code_Centre","Libelle_Centre","Code_Region","Libelle_Region","Poste_Itinerant","Code_Nature","Libelle_Nature","Code_Nature_juridique_Client","Libelle_Nature_juridique_Client","Critere_SLA","Activite_Batiment","icone","Symptome_Reference","Parametre_Contrat_Type","Limite_Contrat_Type","Code_Domaine","Libelle_Domaine","Code_Sous-domaine","Libelle_Sous-domaine","Contractuel","Importance_Equipement","Criticite_Demande","Priorite_Espace","Code_Titre","Libelle_Titre","Langue","Outil_Energies","Code_Occupation","Libelle_Occupation ","Type_Operation","Zone_Astreinte","Type_Prestations_FM","Classification_Site","Statut_Equipement","Etat_Fonctionnement","Etat_Sante","Origine","Territoire","Maintenance_Type","Code_Sous_Famille","Libelle_Sous_Famille","Code_Famille","Libelle_Famille"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","031.30.SKD.SKY","Skydôme de désenfumage","040.10.SBA","Sauteuses basculantes"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","031.30.TDE.TRA","Trappe de désenfumage","040.10.TDP","Tour de pâtissier"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","031.40.BAU.BLO","Blocs autonomes pour éclairage d'urgence","040.10.TDT","Tables de travail"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","031.40.PEV.PLA","Plans d'évacuation","040.10.TLV","Tunnel de lavage chariot"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","031.50.CAB.CAB","Câblages","040.10.TRC","Trancheurs"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","031.50.DBG.DET","Détecteurs","040.10.TRS","Transrouleurs"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","031.50.DET.DET","Détecteurs (type analogique","040.10.UST","Ustensiles"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","031.50.DPO.DET","Détection présence d'eau","042.10.ADI","Automate Dispenciation (dispatch médicament)"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","031.50.PAI.PAN","Panneaux d'alarme incendie (tableaux de report)","042.10.ARF","Armoires froides"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","031.50.SAI.SYS","Système d'alarme incendie (centrale","042.10.CAL","Calculateur d'énergie"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.AFR.NEG","Négative","042.10.CCP","Coffret de commande porte"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.AFR.POS","Positive","042.10.CON","Congélateur"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.ART.ARM","Armoires de remise en température","042.10.DBS","Déblistéreuses"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.AST.ARM","Armoires de stérilisation type cuisine","042.10.FPH","Frigo pharmaceutique"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.BAL.BAL","Balances","042.10.HPR","Hottes préparation non stérile"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.BAT.BAT","Batteurs","042.10.IDR","Isolateur de reconstituion"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.BMA.BAI","Bain marie","042.10.LPP","Logiciels process Pharmacie"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.BRO.BRO","Broyeurs","042.10.MPC","Machine de préparation commande"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.CAV.CAV","Cave à vin","042.10.MTM","Machine à trier les médicaments"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.CDS.CAN","Caniveaux de sol","042.10.PHE","Porte hermétique"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.CFR.NEG","Négative","042.10.RME","Réfrigeratéur Médical"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.CFR.POS","Positive","042.10.SOR","Sorbonne"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.CFR.REF","Réfrigérée","042.10.SRO","Stockage rotatif"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.CHR.CHA","Chariots","042.10.SSP","SAS Préparation"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.CHU.CHA","Chauffes Assiettes","042.10.THE","Thermosoudeuse"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.CLE.COU","Coupe légumes","044.10.ATO","Autoclave"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.COP.COM","Compacteurs","044.10.CHO","Chariots"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.COV.CON","Convoyeurs","044.10.CLA","Cabine de lavage"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.CPR.CRÊ","Crêpière","044.10.LDE","Laveur Désinfecteur"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.CRR.CEL","Cellules de refroidissement rapide","044.10.LPS","Logiciels Process Stérilisation"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.CUI.CUP","Cuiseur à pates","044.10.STE","Stérilisateur"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.CUI.CUV","Cuiseur vapeur","044.10.TLA","Tunnel de lavage"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.CUI.GAZ","Table de cuisson gaz","046.10.AIG","Aiguillage"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.CUI.TAB","Table de cuisson","046.10.APM","Appel malades"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.CUT.CUT","Cutters","046.10.BOP","Bloc opératoire"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.DEI.DES","Destructeur insectes","046.10.BRA","Bras médicalisés"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.EPC.EPL","Eplucheurs","046.10.CFM","Chambres Froides Médicales"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.ESS.ESS","Essoreuse à salade","046.10.CME","Congélateurs Médicaux"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.FLM.FIL","Filmeuses","046.10.DFB","Défibrillateur"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.FON.FON","Fontaines","046.10.FME","Fluides Médicaux"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.FOR.ELE","Electrique","046.10.GTL","Gaines tête de lit"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.FOR.MIC","Micro ondes","046.10.LME","Lits médicalisés"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.FOR.MIX","Mixte","046.10.LPM","Logiciels Process Médical"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.FRI.FRI","Friteuses","046.10.LVP","Lève patient"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.GBA.GUI","Guichets à balancelle","046.10.PPE","Pompes"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.GDO.GRI","Grillades","046.10.RME","Réfrigérateur Médical"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.HOT.HOT","Hottes","046.10.SCI","Eclairage scialytique"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.HYG.HYG","Hygiène","048.10.AUT","Automates"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.KIT.KIT","Kitchenette","048.10.BLO","Blocage de cintres avec aiguillage"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.LAV.LAV","Lavage","048.10.CAA","Centrale analyse d'eau"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.LBO.LAV","Lave bottes","048.10.ECH","Echangeurs thermique"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.LCA.LAV","Lave cagettes","048.10.ENR","Enregistreur évolution PH et T°C"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.LPC.LOG","Logiciels process Cuisine","048.10.FED","Fosses Effluents"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.MAG.MAC","Machines à glaçon","048.10.GIP","Gestion Informatique Process"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.MAM.MAR","Marmites","048.10.LPB","Logiciels Process Blanchisserie"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.MBL.MEU","Meubles de cuisine","048.10.POS","Poste d'injection CO2"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.MCA.MAC","Machine à café","048.10.TRE","Traitement de Rejets"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.MDC.MEU","Meubles caisse","048.20.CCI","Chargeurs Cintres"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.MRE.MEU","Meuble réfrigéré","048.20.CGA","Casse galettes"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.MTH.MEU","Meubles thermiques","048.20.COL","Collecteur de peluches"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.MXR.MIX","Mixeur","048.20.COY","Convoyeur"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.OBO.OUV","Ouvre boites","048.20.DEM","Démêloirs"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.PAS.PAS","Pastocuiseurs","048.20.ELS","Elévateurs Linge sale"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.PID.PLA","Plaques à induction","048.20.EMB","Emballeur"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.PLG.PRE","Presses légumes","048.20.EMP","Empileurs"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.PRS.PRE","Présentoirs","048.20.ENG","Engageuses"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.ROT.ROT","Rôtissoire","048.20.ETR","Elévateur-Translateur"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.SBA.SAU","Sauteuses basculantes","048.20.LCH","Lave chariots"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.TDP.TOU","Tour de pâtissier","048.20.LES","Laveuses-Essoreuses"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.TDT.TAB","Tables de travail","048.20.MTL","Machine de trie du linge"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.TLV.TUN","Tunnel de lavage chariot","048.20.PCC","Poste d'accrochage"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.TRC.TRA","Trancheurs","048.20.PES","Presse essorage tunnel de lavage"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.TRS.TRA","Transrouleurs","048.20.PHY","Presse Hydraulique type blanchisserie"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","040.10.UST.UST","Ustensiles","048.20.PLE","Plieuses"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","042.10.ADI.AUT","Automate Dispenciation (dispatch médicament)","048.20.PMC","Poste de mise en cintre"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","042.10.ARF.ARM","Armoires froides","048.20.RMU","Robots de mise à l'unité"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","042.10.CAL.CAL","Calculateur d'énergie","048.20.RUT","Rail unité de trie"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","042.10.CCP.COF","Coffret de commande porte","048.20.SCR","Séchoirs"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","042.10.CON.CON","Congélateur","048.20.SED","Séchoir déméloir"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","042.10.DBS.DEB","Déblistéreuses","048.20.SEN","Système ensacheur E"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","042.10.FPH.FRI","Frigo pharmaceutique","048.20.SER","Séchoir rotatif"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","042.10.HPR.HOT","Hottes préparation non stérile","048.20.SLI","Sèche linge"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","042.10.IDR.ISO","Isolateur de reconstituion","048.20.SRP","Sécheuse-Repasseuses"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","042.10.LPP.LOG","Logiciels process Pharmacie","048.20.STF","Système de tri linge en forme"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","042.10.MPC.MAC","Machine de préparation commande","048.20.TMA","Transpalette manuel"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","042.10.MTM.MAC","Machine à trier les médicaments","048.20.TRF","Tunnel de rétractation du film"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","042.10.PHE.POR","Porte hermétique","048.20.TRL","Trolleys"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","042.10.RME.REF","Réfrigeratéur Médical","048.20.TRO","Tapis roulant"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","042.10.SOR.SOR","Sorbonne","048.20.TUN","Tunnels"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","042.10.SRO.STO","Stockage rotatif","048.20.UMS","Unités de montage des sacs"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","042.10.SSP.SAS","SAS Préparation","048.30.ASG","Armoires de stockage"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","042.10.THE.THE","Thermosoudeuse","048.30.ATR","Alvéoles de tri"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","044.10.ATO.AUT","Autoclave","048.30.CPU","Cintres pucés"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","044.10.CHO.CHA","Chariots","048.30.RMO","Rayonnage mobile"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","044.10.CLA.CAB","Cabine de lavage","048.30.SDI","Stockage divers"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","044.10.LDE.LAV","Laveur Désinfecteur","048.30.SDY","Stockage dynamique sur plateaux"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","044.10.LPS.LOG","Logiciels Process Stérilisation","048.30.SLN","Stockage linge"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","044.10.STE.STE","Stérilisateur","048.30.STG","Stockage des galettes"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","044.10.TLA.TUN","Tunnel de lavage","048.30.ZTR","Zone de tri"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","046.10.AIG.AIG","Aiguillage","048.40.GAL","Goulottes d'alimentation"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","046.10.APM.APP","Appel malades","050.10.BUM","Bumper"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","046.10.BOP.BLO","Bloc opératoire","050.10.LPA","Logiciels Process Archives"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","046.10.BRA.BRA","Bras médicalisés","050.10.PMU","Protection Murale"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","046.10.CFM.CHA","Chambres Froides Médicales","050.10.RAK","Rack"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","046.10.CME.CON","Congélateurs Médicaux","052.10.AIP","Aiguillage"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","046.10.DFB.DEF","Défibrillateur","052.10.CHG","Chargeurs"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","046.10.FME.FLU","Fluides Médicaux","052.10.GAP","Gares"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","046.10.GTL.GAI","Gaines tête de lit","052.10.RPN","Réseaux"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","046.10.LME.LIT","Lits médicalisés","052.10.SAR","Station d'arrivée"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","046.10.LPM.LOG","Logiciels Process Médical","052.10.STD","Station de départ"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","046.10.LVP.LEV","Lève patient","052.10.TOP","Tortues"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","046.10.PPE.POM","Pompes","052.10.TUR","Turbine"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","046.10.RME.REF","Réfrigérateur Médical","052.20.GER","Gerbeur"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","046.10.SCI.ECL","Eclairage scialytique","052.20.SCA","Station de carburant"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.10.AUT.AUT","Automates","052.30.CGR","Chargeurs"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.10.BLO.BLO","Blocage de cintres avec aiguillage","052.30.GAR","Gares"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.10.CAA.CEN","Centrale analyse d'eau","052.30.TOR","Tortues"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.10.ECH.ECH","Echangeurs thermique","052.40.LTA","Locomotive Tracteur"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.10.ENR.ENR","Enregistreur évolution PH et T°C","052.40.RAI","Rails"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.10.FED.FOS","Fosses Effluents","054.10.OGM","Outil de gestion du matériel"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.10.GIP.GES","Gestion Informatique Process","054.20.CHE","Chariot élévateur"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.10.LPB.LOG","Logiciels Process Blanchisserie","054.20.RAY","Rayonnage mobile (à rouleau...)"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.10.POS.POS","Poste d'injection CO2","054.20.RMA","Rack magasin"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.10.TRE.TRA","Traitement de Rejets","054.20.RPA","Rayonnage palette"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.20.CCI.CHA","Chargeurs Cintres","054.20.TRP","Transpalette"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.20.CGA.CAS","Casse galettes","060.10.CRD","Contrôle réglementaire Disconnecteurs"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.20.COL.COL","Collecteur de peluches","060.10.CSO","Compteurs et Sous compteurs Alimentation Eau"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.20.COY.CON","Convoyeur","060.10.DIS","Disconnecteur"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.20.DEM.DEM","Démêloirs","060.10.FAC","Filtres à cartouches"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.20.ELS.ELE","Elévateurs Linge sale","060.10.RDP","Réducteur de pression"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.20.EMB.EMB","Emballeur","060.10.VAC","Vannes et accessoires"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.20.EMP.EMP","Empileurs","060.20.ACG","Accumulateurs gaz"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.20.ENG.ENG","Engageuses","060.20.BAC","Bâches"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.20.ETR.ELE","Elévateur-Translateur","060.20.BAK","Bâches de stockage"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.20.LCH.LAV","Lave chariots","060.20.BCP","Ballon casse pression"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.20.LES.LAV","Laveuses-Essoreuses","060.20.BEL","Ballon électrique"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.20.MTL.MAC","Machine de trie du linge","060.20.BME","Bouteilles de mélange"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.20.PCC.POS","Poste d'accrochage","060.20.BOT","Bouteille d'équilibrage"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.20.PES.PRE","Presse essorage tunnel de lavage","060.20.BST","Ballons stockage eau"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.20.PHY.PRE","Presse Hydraulique type blanchisserie","060.20.BTA","Ballons tampons"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.20.PLE.PLI","Plieuses","060.20.CAN","Clapet Anti-retour (Disconnecteur)"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.20.PMC.POS","Poste de mise en cintre","060.20.CAP","Clapets anti-pollution"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.20.RMU.ROB","Robots de mise à l'unité","060.20.CCH","Cordons chauffants"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.20.RUT.RAI","Rail unité de trie","060.20.CRB","Contrôle réglementaire Appareil sous pression"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.20.SCR.SEC","Séchoirs","060.20.CRO","Contrôle réglementaire eau"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.20.SED.SEC","Séchoir déméloir","060.20.CSD","Compteurs et Sous compteurs Distribution eau"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.20.SEN.SYS","Système ensacheur E","060.20.DEN","Détendeurs"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.20.SER.SEC","Séchoir rotatif","060.20.EPL","Echangeurs"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.20.SLI.SEC","Sèche linge","060.20.FAS","Filtres à sable"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.20.SRP.SEC","Sécheuse-Repasseuses","060.20.FCR","Filtres à cartouches"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.20.STF.SYS","Système de tri linge en forme","060.20.FEV","Filtres Electrovannes"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.20.TMA.TRA","Transpalette manuel","060.20.FMP","Filtres Magnétiques"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.20.TRF.TUN","Tunnel de rétractation du film","060.20.FTM","Filtre à tamis distribution eau"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.20.TRL.TRO","Trolleys","060.20.ITA","Injecteur de Traitement anti boue"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.20.TRO.TAP","Tapis roulant","060.20.MPR","Manomètres de pression"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.20.TUN.LAV","Tunnel de lavage","060.20.OPR","Organes de prélèvements"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.20.TUN.TUN","Tunnel","060.20.PBP","Pots à boue"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.20.UMS.UNI","Unités de montage des sacs","060.20.PCI","Pompes de Circulation"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.30.ASG.ARM","Armoires de stockage","060.20.PGS","Pompes/Groupe maintien de pression"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","048.30.ATR.ALV","Alvéoles de tri","060.20.PRE","Purgeurs réseaux"
